FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,FEN_After_First_Move,Evaluation,white_material,black_material,white_pieces,black_pieces
6k1/pp5p/2rp2p1/4rbB1/8/8/PP1K1PPP/3R3R w - - 0 21,h1e1 c6c2,1544,76,92,2201,endgame mate mateIn1 oneMove,https://lichess.org/uWyQMWLN#41,6k1/pp5p/2rp2p1/4rbB1/8/8/PP1K1PPP/3RR3 b - - 1 21,-1,18,18,9,9
1r3rk1/pN2qp1p/1p1N2pn/3B4/4P1n1/1P5R/PBP3P1/1K5R b - - 5 24,g4f2 h3h6 f2h1 h6h1 b8b7 d6b7,1715,74,86,314,advantage long middlegame,https://lichess.org/HQjuOnaz/black#48,1r3rk1/pN2qp1p/1p1N2pn/3B4/4P3/1P5R/PBP2nP1/1K5R w - - 6 25,115,27,30,12,11
7R/pp6/7p/8/1P6/1KNq1n2/P4k2/8 b - - 3 56,d3d6 c3e4 f2e3 e4d6,1302,190,87,14,crushing endgame fork short,https://lichess.org/KHcPosYa/black#112,7R/pp6/3q3p/8/1P6/1KN2n2/P4k2/8 w - - 4 57,522,10,15,5,6
8/2p4p/p1p3p1/1p4k1/1P1P1p1P/P2K1PP1/8/8 b - - 0 36,g5f5 g3g4 f5e6 d3e4,1175,74,88,477,crushing endgame pawnEndgame short,https://lichess.org/VE7e1fCF/black#72,8/2p4p/p1p3p1/1p3k2/1P1P1p1P/P2K1PP1/8/8 w - - 1 37,199,6,7,7,8
5Q2/1pr4p/p5pk/4q3/8/1B4P1/P4P1P/6K1 b - - 4 29,e5g7 f8f4 g6g5 f4d6 g7g6 d6c7 g6b1 g1g2,1312,75,87,653,crushing defensiveMove deflection endgame veryLong,https://lichess.org/TpUDoD3g/black#58,5Q2/1pr3qp/p5pk/8/8/1B4P1/P4P1P/6K1 w - - 5 30,520,16,18,7,7
N4b1N/1p1n2p1/p1k4p/3p4/3Pn1b1/1B1QB3/PPP2PqP/R3KR2 w Q - 6 17,c2c4 f8b4 e3d2 e4d2,1708,247,-100,3,crushing middlegame short,https://lichess.org/PL3K4705#33,N4b1N/1p1n2p1/p1k4p/3p4/2PPn1b1/1B1QB3/PP3PqP/R3KR2 b Q - 0 17,14,37,26,14,11
2kr4/2p2p2/p1p2p2/2P4p/8/4RNPb/PPP2P1P/6K1 w - - 5 21,f3h4 d8d1 e3e1 d1e1,568,105,65,88,endgame mate mateIn2 short,https://lichess.org/S2tsVIpX#41,2kr4/2p2p2/p1p2p2/2P4p/7N/4R1Pb/PPP2P1P/6K1 b - - 6 21,-2,15,14,10,9
4r1k1/1p2q2p/1n4pP/p1p3N1/P2pPb2/3P1N1Q/1PP3P1/4R2K w - - 6 28,b2b3 f4g5 f3g5 e7g5,1038,85,92,931,advantage middlegame short,https://lichess.org/B1QFVA5y#55,4r1k1/1p2q2p/1n4pP/p1p3N1/P2pPb2/1P1P1N1Q/2P3P1/4R2K b - - 0 28,-336,27,26,12,11
4Qrk1/pp3p2/1b4pp/nP6/P1p2B2/2q4P/2B2PP1/R3R1K1 b - - 0 22,f8e8 e1e8 g8h7 f4e5,1624,76,88,273,crushing kingsideAttack master middlegame short,https://lichess.org/Esf8aGiG/black#44,4r1k1/pp3p2/1b4pp/nP6/P1p2B2/2q4P/2B2PP1/R3R1K1 w - - 0 23,523,21,26,10,11
8/1Q4pk/p6p/8/3p4/4qP2/1P4PP/5K2 b - - 4 37,d4d3 b7e4 e3e4 f3e4,974,82,81,226,crushing endgame queenEndgame short,https://lichess.org/Gq8DxMil/black#74,8/1Q4pk/p6p/8/8/3pqP2/1P4PP/5K2 w - - 0 38,321,13,13,6,6
8/br4kn/p1n3Q1/3pP2p/P2P1N2/5qBP/5P2/6K1 b - - 2 36,g7h8 g6e8 h7f8 e8f8 h8h7 f8f5,1892,77,87,116,crushing exposedKing fork long middlegame,https://lichess.org/xcKPPKAY/black#72,7k/br5n/p1n3Q1/3pP2p/P2P1N2/5qBP/5P2/6K1 w - - 3 37,547,20,26,9,9
8/8/p2p4/1p6/1Pr2k1R/P7/3K4/8 b - - 4 63,f4g3 h4c4 b5c4 a3a4,2131,75,91,835,crushing defensiveMove endgame rookEndgame short,https://lichess.org/bwE3ELQu/black#126,8/8/p2p4/1p6/1Pr4R/P5k1/3K4/8 w - - 5 64,475,7,8,4,5
2rq1rk1/pp4pp/2nb4/2p1p3/Q7/2P1PN2/PP3PPP/R1B2RK1 w - - 3 12,f1d1 e5e4 a4e4 d6h2 g1h2 d8d1 c1d2 d1e2,2745,111,86,236,advantage discoveredAttack kingsideAttack middlegame veryLong,https://lichess.org/IkGiSROZ#23,2rq1rk1/pp4pp/2nb4/2p1p3/Q7/2P1PN2/PP3PPP/R1BR2K1 b - - 4 12,-166,32,31,13,12
2k4N/ppp1q1pp/8/2br4/3nP1b1/2PP4/PP1Q1PPP/R1B1K2R w KQ - 0 13,c3d4 c5b4 e1g1 b4d2,1496,75,93,447,advantage middlegame pin short,https://lichess.org/Wgls8w1c#25,2k4N/ppp1q1pp/8/2br4/3PP1b1/3P4/PP1Q1PPP/R1B1K2R b KQ - 0 13,-147,33,25,14,10
8/6p1/5p2/4p1p1/1Q2k3/1P2n2P/6PK/2r5 b - - 1 45,e4f5 g2g4 f5e6 b4b6 e6d5 b6e3,1337,76,95,13254,advantage endgame fork long,https://lichess.org/AlBh6DUH/black#90,8/6p1/5p2/4pkp1/1Q6/1P2n2P/6PK/2r5 w - - 2 46,349,12,12,5,7
3r2k1/5R2/p3p1p1/P7/1p1q4/3P3P/6P1/5Q1K b - - 0 31,d4d3 f7f8 d8f8 f1d3,1105,83,93,994,crushing deflection endgame short,https://lichess.org/Wc7BYJ1O/black#62,3r2k1/5R2/p3p1p1/P7/1p6/3q3P/6P1/5Q1K w - - 0 32,539,17,18,6,7
r2qr1k1/pp3p2/2pbnn1p/3pN3/1P1P3p/P1N1P2P/4QPP1/2R2RK1 b - - 0 18,g8h8 e5f7 h8g7 f7d8,740,95,95,187,advantage fork middlegame short,https://lichess.org/E7ghqSUI/black#36,r2qr2k/pp3p2/2pbnn1p/3pN3/1P1P3p/P1N1P2P/4QPP1/2R2RK1 w - - 1 19,440,32,35,13,14
3r1rk1/p1p2ppp/2p5/2b1PN2/5Q2/2Pq4/PPn3PP/2B2R1K b - - 5 21,g7g6 f5h6 g8g7 f4f6,1307,75,100,835,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/y5lyc3Vo/black#42,3r1rk1/p1p2p1p/2p3p1/2b1PN2/5Q2/2Pq4/PPn3PP/2B2R1K w - - 0 22,2,26,31,11,12
8/4k1K1/5p2/1p5P/1n4P1/8/8/8 b - - 0 44,b4d5 h5h6 d5e3 h6h7 e3g4 h7h8q,935,93,95,360,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/QzPaDI5H/black#88,8/4k1K1/5p2/1p1n3P/6P1/8/8/8 w - - 1 45,311,2,5,3,4
r2k3r/ppq1b1Q1/2p5/4N2p/3P4/4Pn1P/5PP1/2R1KB1R w K - 1 20,e5f3 e7b4 e1d1 c7g7,1460,75,96,8295,crushing discoveredAttack middlegame short,https://lichess.org/7kCnTcGm#39,r2k3r/ppq1b1Q1/2p5/7p/3P4/4PN1P/5PP1/2R1KB1R b K - 0 20,-561,30,26,11,9
8/3k1n1p/3p2p1/P1p5/8/2P4P/2r3P1/R3B2K b - - 0 29,d7d8 a5a6 d8c7 a6a7,1574,76,85,149,advancedPawn crushing endgame short,https://lichess.org/fMflClQR/black#58,3k4/5n1p/3p2p1/P1p5/8/2P4P/2r3P1/R3B2K w - - 1 30,699,12,12,7,7
r3rk2/3bppbQ/p2p2pB/1pqN4/3Nn1P1/1P6/P1P5/1K4RR b - - 3 25,c5d4 h7h8,1789,76,80,221,mate mateIn1 middlegame oneMove pin,https://lichess.org/KZ72Z6Zq/black#50,r3rk2/3bppbQ/p2p2pB/1p1N4/3qn1P1/1P6/P1P5/1K4RR w - - 0 26,1,29,34,10,13
8/5p2/6kN/7R/2r2KP1/7p/8/8 w - - 3 43,f4e5 c4c5 e5f4 c5h5 g4h5 g6h6,1674,77,92,179,crushing endgame long,https://lichess.org/VLkw3ZHR#85,8/5p2/6kN/4K2R/2r3P1/7p/8/8 b - - 4 43,-498,9,7,4,4
8/8/5p1p/R3k3/4p1PK/4r3/8/8 b - - 7 64,e5f4 a5f5,591,92,99,615,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/vgTKRGGr/black#128,8/8/5p1p/R7/4pkPK/4r3/8/8 w - - 8 65,1,6,8,3,5
1r2r1k1/5p1p/4b1p1/2p5/1n1b1N2/1P3PPq/P2BK2P/1BRQ3R w - - 9 23,f4h3 e6c4,1686,85,85,1365,doubleCheck master mate mateIn1 middlegame oneMove,https://lichess.org/d3PX1xhU#45,1r2r1k1/5p1p/4b1p1/2p5/1n1b4/1P3PPN/P2BK2P/1BRQ3R b - - 0 23,-1,33,23,12,10
r1b2rk1/pppn1pq1/2n1p3/3pP2p/5B2/2P1PB2/PP1K1P1P/R2Q3R b - - 3 16,g8h8 h1g1 g7g1 d1g1,1238,96,76,43,crushing middlegame short,https://lichess.org/8RlFBKws/black#32,r1b2r1k/pppn1pq1/2n1p3/3pP2p/5B2/2P1PB2/PP1K1P1P/R2Q3R w - - 4 17,324,32,35,13,14
5r1r/pp1q1pk1/4bR1p/3pP1pQ/7P/3B2P1/PP4P1/5RK1 b - - 0 24,e6g4 f6g6 f7g6 h5g6,1929,89,65,80,mate mateIn2 middlegame sacrifice short,https://lichess.org/KZQMpW3W/black#48,5r1r/pp1q1pk1/5R1p/3pP1pQ/6bP/3B2P1/PP4P1/5RK1 w - - 1 25,2,28,28,11,11
r2q1rk1/1pp2ppp/p1pb1n2/4P3/4P1b1/2N1BN2/PPP2PPP/R2Q1RK1 b - - 0 9,d6e5 d1d8 a8d8 f3e5,1317,74,87,583,advantage intermezzo opening short,https://lichess.org/dM9wBKlU/black#18,r2q1rk1/1pp2ppp/p1p2n2/4b3/4P1b1/2N1BN2/PPP2PPP/R2Q1RK1 w - - 0 10,583,35,35,14,14
5rk1/5p1p/1b1Q2pP/p4qN1/5P2/6P1/1P6/K2R4 b - - 2 30,f8d8 d6d8 b6d8 d1d8,989,86,9,70,endgame mate mateIn2 short,https://lichess.org/mkyd7m2d/black#60,3r2k1/5p1p/1b1Q2pP/p4qN1/5P2/6P1/1P6/K2R4 w - - 3 31,2,21,21,8,8
3r4/6k1/3q1p2/6pQ/8/6R1/6PK/8 b - - 1 43,f6f5 h5g5 g7f7 g5g7 f7e6 h2h3 d6d4 g3g6 e6d5 g7f7 d5e4 g6e6 e4d3 f7f5,2758,105,92,121,crushing deflection endgame exposedKing veryLong,https://lichess.org/Ow91PQjS/black#86,3r4/6k1/3q4/5ppQ/8/6R1/6PK/8 w - - 0 44,164,15,16,4,5
5rk1/N1r2pp1/bp2pq1p/n7/2P5/P3P1P1/4BPP1/2QR1RK1 w - - 1 22,a7b5 a6b5,1364,81,80,47,advantage middlegame oneMove,https://lichess.org/9Kikj0Ko#43,5rk1/2r2pp1/bp2pq1p/nN6/2P5/P3P1P1/4BPP1/2QR1RK1 b - - 2 22,-432,31,30,12,11
8/1p6/6p1/p7/6K1/P5P1/1P3k2/8 w - - 0 49,g4f4 a5a4 g3g4 f2g2 g4g5 g2h3,2669,102,91,323,crushing defensiveMove endgame long pawnEndgame quietMove,https://lichess.org/pBCQ87CP#97,8/1p6/6p1/p7/5K2/P5P1/1P3k2/8 b - - 1 49,-400,3,3,4,4
3rr2k/1q2Np1p/1n1Pn1p1/2p3B1/8/8/PP2Q1PP/R2R3K b - - 0 27,e6g5 e2e5 f7f6 e5f6,1524,74,89,850,fork mate mateIn2 middlegame short,https://lichess.org/tB7Fwvaq/black#54,3rr2k/1q2Np1p/1n1P2p1/2p3n1/8/8/PP2Q1PP/R2R3K w - - 0 28,2,27,29,10,10
7r/pp3pk1/2bqpb2/2R5/3P4/3Q4/PP3PP1/1B3RK1 w - - 0 23,d3g3 d6g3 f2g3 f6d4,1010,89,91,706,crushing middlegame short,https://lichess.org/dhJuIVhg#45,7r/pp3pk1/2bqpb2/2R5/3P4/6Q1/PP3PP1/1B3RK1 b - - 1 23,-749,27,24,10,9
r3kbnr/ppq1pppp/2n5/1Bp5/3pPPb1/5NN1/PPPP2PP/R1BQK2R w KQkq - 6 8,d2d3 c7a5 c2c3 a5b5,1340,74,77,140,crushing fork opening short,https://lichess.org/M81QCfiP#15,r3kbnr/ppq1pppp/2n5/1Bp5/3pPPb1/3P1NN1/PPP3PP/R1BQK2R b KQkq - 0 8,-391,39,39,16,16
r3r1k1/pp3pp1/2pq1n1p/3p4/3P4/3B1QR1/PPP3PP/5RK1 b - - 5 21,e8e7 f3f6 d6f6 f1f6,1399,79,81,68,advantage middlegame pin short,https://lichess.org/FTFY1Eux/black#42,r5k1/pp2rpp1/2pq1n1p/3p4/3P4/3B1QR1/PPP3PP/5RK1 w - - 6 22,428,28,29,11,12
3r3k/7p/p1B3p1/1pp5/8/7P/4RPPK/8 w - - 0 38,e2e8 d8e8 c6e8 c5c4 e8c6 c4c3 c6e4 a6a5,2475,92,90,578,crushing defensiveMove endgame quietMove veryLong,https://lichess.org/eBRcsBt9#75,3rR2k/7p/p1B3p1/1pp5/8/7P/5PPK/8 b - - 1 38,-352,11,10,6,7
1r1k1r2/6b1/1q1PQ1pp/4pp2/8/8/PP3PPP/R2R2K1 b - - 0 24,b6b7 d6d7 b7b6 d1d6,2521,80,94,190,advancedPawn clearance crushing middlegame short,https://lichess.org/U94uWf0T/black#48,1r1k1r2/1q4b1/3PQ1pp/4pp2/8/8/PP3PPP/R2R2K1 w - - 1 25,288,25,26,10,9
4r3/5kb1/p5p1/1pN2p1p/5P2/1QP3P1/PP3KNq/8 b - - 1 36,f7e7 b3e6 e7f8 c5d7,1808,296,100,12,endgame mate mateIn2 short,https://lichess.org/ih2qhdaG/black#72,4r3/4k1b1/p5p1/1pN2p1p/5P2/1QP3P1/PP3KNq/8 w - - 2 37,2,20,22,9,9
8/p4p1k/7p/R2NP3/5PP1/Pr4K1/1r5P/8 w - - 3 36,g3h4 b2h2,816,99,88,150,endgame mate mateIn1 oneMove,https://lichess.org/KGtvWv27#71,8/p4p1k/7p/R2NP3/5PPK/Pr6/1r5P/8 b - - 4 36,-1,13,13,8,6
r2qkb1r/pp3ppp/2n1bn2/4p3/3pP3/P4NN1/1PP2PPP/R1BQKB1R w KQkq - 1 10,f1b5 d8a5 c2c3 a5b5,1082,80,93,1723,crushing fork opening short,https://lichess.org/sJvfK4w6#19,r2qkb1r/pp3ppp/2n1bn2/1B2p3/3pP3/P4NN1/1PP2PPP/R1BQK2R b KQkq - 2 10,-531,38,38,15,15
8/8/5p2/2pk1P1p/7P/2P5/2K5/8 w - - 2 40,c2d3 c5c4 d3e3 d5e5 e3f3 e5f5,931,84,85,193,crushing endgame long pawnEndgame,https://lichess.org/xAQ7udRf#79,8/8/5p2/2pk1P1p/7P/2PK4/8/8 b - - 3 40,-462,3,3,4,4
2kr2nr/ppp3pp/2n2p2/8/1q6/PP2PbP1/2PN1PP1/R2QKB1R w KQ - 0 13,d1f3 b4d2,567,87,95,420,mate mateIn1 middlegame oneMove,https://lichess.org/at9zXnVA#25,2kr2nr/ppp3pp/2n2p2/8/1q6/PP2PQP1/2PN1PP1/R3KB1R b KQ - 0 13,-1,32,31,13,12
4R3/p2r1pkp/6p1/2p5/2B5/5Q2/P2q1P1P/7K w - - 4 29,e8e3 d2c1 h1g2 c1c4,1386,74,100,1276,advantage endgame fork short,https://lichess.org/U8YrMoSR#57,8/p2r1pkp/6p1/2p5/2B5/4RQ2/P2q1P1P/7K b - - 5 29,-374,20,19,7,8
4rk2/ppp1rp1p/6p1/5Q2/3p4/P2P2R1/KPP5/6R1 b - - 0 25,g6f5 g3g8,399,115,92,454,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/SBePwdKa/black#50,4rk2/ppp1rp1p/8/5p2/3p4/P2P2R1/KPP5/6R1 w - - 0 26,1,14,17,7,10
3r2k1/1p3pp1/p4q1p/2P5/1Ppr4/P3R2P/2Q2PP1/4R1K1 b - - 8 30,d4d2 e3e8 d8e8 e1e8,874,79,100,378,endgame kingsideAttack mate mateIn2 short,https://lichess.org/CZwpw9fX/black#60,3r2k1/1p3pp1/p4q1p/2P5/1Pp5/P3R2P/2Qr1PP1/4R1K1 w - - 9 31,2,25,25,10,10
6k1/5pp1/4q2p/8/r3PPP1/8/1P1Q3P/1K1R4 w - - 0 30,e4e5 e6a2 b1c2 a4c4,1441,78,75,194,crushing endgame short,https://lichess.org/TnLtvcjp#59,6k1/5pp1/4q2p/4P3/r4PP1/8/1P1Q3P/1K1R4 b - - 0 30,-449,19,17,8,6
2r4k/pp5p/8/5n2/P6r/2NR4/1PK5/3R4 b - - 0 38,h4a4 d3d8 c8d8 d1d8,462,110,89,985,advantage endgame short,https://lichess.org/3ooSdG1Y/black#76,2r4k/pp5p/8/5n2/r7/2NR4/1PK5/3R4 w - - 0 39,533,14,16,5,7
5rk1/pp4p1/2p4p/3p4/N2b1nKP/P3QP2/1P5P/8 w - - 0 31,e3d4 h6h5 g4g5 f4e6,1381,75,98,2409,crushing endgame short,https://lichess.org/O4hZQxND#61,5rk1/pp4p1/2p4p/3p4/N2Q1nKP/P4P2/1P5P/8 b - - 0 31,-737,17,14,8,9
3rkr2/pp2b3/6p1/4qn2/8/7Q/PPP2PPP/4R1K1 w - - 0 29,e1e5 d8d1 e5e1 d1e1,430,115,90,917,backRankMate endgame mate mateIn2 short,https://lichess.org/CN5HNlai#57,3rkr2/pp2b3/6p1/4Rn2/8/7Q/PPP2PPP/6K1 b - - 0 29,-2,20,19,9,8
q1r3k1/2pnppbp/2b2np1/1p6/3P1B2/1QN2NP1/1P2PPBP/5RK1 w - - 2 15,c3b5 a8b7 f1c1 b7b5 b3b5 c6b5,2589,82,51,201,advantage long middlegame,https://lichess.org/ZASrSQcr#29,q1r3k1/2pnppbp/2b2np1/1N6/3P1B2/1Q3NP1/1P2PPBP/5RK1 b - - 0 15,-190,32,31,13,12
3R4/pp3Npk/7p/n7/8/4PN1P/PP3nPK/2r5 w - - 0 24,d8d2 c1h1 h2g3 f2e4 g3f4 e4d2,984,87,91,1544,crushing endgame fork long,https://lichess.org/PWZBqb5s#47,8/pp3Npk/7p/n7/8/4PN1P/PP1R1nPK/2r5 b - - 1 24,-400,16,15,9,8
r3kb1r/1p2pppp/pqn2n2/1Bpp1b2/Q2P1B2/2P1PN2/PP3PPP/RN2K2R w KQkq - 0 8,f3e5 b6b5 a4b5 a6b5,1349,90,76,27,crushing middlegame short,https://lichess.org/ZkdztvTS#15,r3kb1r/1p2pppp/pqn2n2/1BppNb2/Q2P1B2/2P1P3/PP3PPP/RN2K2R b KQkq - 1 8,-539,39,39,16,16
8/4k3/p7/2KP3p/1P3n1P/8/5p2/5N2 w - - 0 44,f1e3 f4g2 e3f1 g2h4,1605,184,87,16,crushing endgame knightEndgame short,https://lichess.org/SG8lOjjX#87,8/4k3/p7/2KP3p/1P3n1P/4N3/5p2/8 b - - 1 44,-197,6,6,5,5
b7/8/p5K1/8/7P/3k2N1/8/8 b - - 0 65,a6a5 h4h5 a8d5 h5h6,818,79,77,116,crushing endgame quietMove short,https://lichess.org/NhHrjvmP/black#130,b7/8/6K1/p7/7P/3k2N1/8/8 w - - 0 66,352,4,4,3,3
8/p1p5/3N2kp/8/P1PN1R2/1P2n1P1/6K1/3r4 w - - 4 36,g2h3 d1h1,698,80,75,160,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/GWbqEURm#71,8/p1p5/3N2kp/8/P1PN1R2/1P2n1PK/8/3r4 b - - 5 36,-1,15,11,8,6
3rk2r/pp1n1ppp/4p3/6P1/1bq2B1P/3R1P2/PPP1Q1B1/2KR4 w k - 5 22,d3d7 c4f4 c1b1 d8d7 d1d7 e8d7,1638,89,80,31,crushing hangingPiece intermezzo long middlegame,https://lichess.org/k0pD9JCi#43,3rk2r/pp1R1ppp/4p3/6P1/1bq2B1P/5P2/PPP1Q1B1/2KR4 b k - 0 22,-490,31,28,12,11
r1b5/1p3k1p/p5p1/2bP4/2Q2P2/6Pq/1P5P/RNB1rRK1 w - - 5 26,c4c5 e1f1,828,84,54,84,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/wHHpVuLP#51,r1b5/1p3k1p/p5p1/2QP4/5P2/6Pq/1P5P/RNB1rRK1 b - - 0 26,-1,30,26,11,9
rn1qk2r/p1p2pp1/1p2pn1p/3p4/3Pb3/2BB1N1P/PPP2PP1/R2Q1RK1 b kq - 1 10,b8c6 d3b5 d8d7 f3e5 c6e5 b5d7,1647,76,88,1025,advantage long opening pin,https://lichess.org/xq1L43Ss/black#20,r2qk2r/p1p2pp1/1pn1pn1p/3p4/3Pb3/2BB1N1P/PPP2PP1/R2Q1RK1 w kq - 2 11,288,35,36,14,15
r2r1k2/4b3/3pqpQp/2p1pR2/p1P1P3/1P5P/P5P1/5RK1 b - - 3 32,a8a7 f5f6 e7f6 f1f6 e6f6 g6f6,1626,75,96,18522,advantage exposedKing fork long middlegame,https://lichess.org/8K3q39Zw/black#64,3r1k2/r3b3/3pqpQp/2p1pR2/p1P1P3/1P5P/P5P1/5RK1 w - - 4 33,583,25,28,10,11
r6r/pp6/2pp3p/4pk2/5p2/2PP1R1P/PP3PP1/3R2K1 w - - 4 21,d3d4 e5e4 g2g4 f5g5,1255,76,87,1806,crushing defensiveMove endgame rookEndgame short,https://lichess.org/f49ui7yf#41,r6r/pp6/2pp3p/4pk2/3P1p2/2P2R1P/PP3PP1/3R2K1 b - - 0 21,-467,17,17,10,10
2K5/r2P4/2k5/8/8/8/8/8 w - - 4 79,d7d8q a7a8,1014,84,93,1907,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/bd8kcoqI#157,2KQ4/r7/2k5/8/8/8/8/8 b - - 0 79,-1,9,5,2,2
6k1/6p1/r4pNp/pn6/1p2p3/6B1/PP4PP/5K2 b - - 5 36,a6c6 g6e7 g8f7 e7c6,901,115,52,27,advantage endgame fork short,https://lichess.org/Oa1MGykP/black#72,6k1/6p1/2r2pNp/pn6/1p2p3/6B1/PP4PP/5K2 w - - 6 37,381,10,14,7,9
3Q4/8/7k/4K3/6P1/6q1/8/8 w - - 9 61,e5d5 g3d3 d5c6 d3d8,1094,78,90,561,crushing endgame queenEndgame short skewer,https://lichess.org/d9sWUMzV#121,3Q4/8/7k/3K4/6P1/6q1/8/8 b - - 10 61,-578,10,9,3,2
1R3bk1/p2q1ppp/4p3/4P3/p2P4/P4N2/3B1PPP/6K1 b - - 4 23,f7f6 d2b4 g8f7 b8f8,1586,75,96,13313,crushing endgame short,https://lichess.org/HinC5LK3/black#46,1R3bk1/p2q2pp/4pp2/4P3/p2P4/P4N2/3B1PPP/6K1 w - - 0 24,338,17,18,10,9
r2q1b1r/p2bnkp1/1p2p3/nP1pP1Np/P1pP3P/2PB4/2Q2P2/RNB1K2R b KQ - 1 17,f7g8 d3h7 h8h7 c2h7,1175,74,82,401,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/oBVcoYyi/black#34,r2q1bkr/p2bn1p1/1p2p3/nP1pP1Np/P1pP3P/2PB4/2Q2P2/RNB1K2R w KQ - 2 18,2,38,38,15,15
r4r1k/pp2q1pp/2npbn2/2P5/3Q4/1N2B3/PP2B1PP/R4RK1 w - - 1 19,c5d6 c6d4 d6e7 d4e2,1337,76,79,60,advantage kingsideAttack middlegame short,https://lichess.org/6ZWfLVTN#37,r4r1k/pp2q1pp/2nPbn2/8/3Q4/1N2B3/PP2B1PP/R4RK1 b - - 0 19,-331,33,32,12,11
8/1p5p/p7/2P2pqk/1P2p3/P7/4KP1Q/8 b - - 12 50,g5h4 h2h4 h5h4 a3a4 h4g5 b4b5,1865,74,93,291,crushing endgame long queenEndgame quietMove,https://lichess.org/8DFThRM8/black#100,8/1p5p/p7/2P2p1k/1P2p2q/P7/4KP1Q/8 w - - 13 51,487,13,14,6,7
2kr1r2/ppp3pp/2n2n2/5b2/1q3B2/1BPp1P2/PP2N1PP/R2QR1K1 b - - 0 15,d3e2 d1d8 f8d8 c3b4,1789,76,90,1716,advantage middlegame queensideAttack short,https://lichess.org/K57zJbku/black#30,2kr1r2/ppp3pp/2n2n2/5b2/1q3B2/1BP2P2/PP2p1PP/R2QR1K1 w - - 0 16,242,31,34,12,13
6r1/p4kP1/2p1bp2/2p1pq2/2P3RQ/2BP4/P1P3RK/5r2 w - - 7 36,h4h6 f5g4 g2g4 e6g4,1969,76,88,1732,advantage master middlegame short,https://lichess.org/q6Ab9YNo#71,6r1/p4kP1/2p1bp1Q/2p1pq2/2P3R1/2BP4/P1P3RK/5r2 b - - 8 36,-343,27,27,10,10
3rr1k1/ppp2p2/2n3p1/5b1P/8/2Q1PP2/qPPN4/2KR2NR w - - 0 18,h5g6 a2a1 d2b1 d8d1 c1d1 a1b1,1310,76,81,415,advantage attraction long middlegame queensideAttack,https://lichess.org/h669f3vf#35,3rr1k1/ppp2p2/2n3P1/5b2/8/2Q1PP2/qPPN4/2KR2NR b - - 0 18,-365,30,29,11,10
4r1k1/1p3ppp/2p3b1/8/3P4/PQ2P3/BP4q1/3RK3 b - - 5 31,g6c2 b3f7 g8h8 f7e8,915,101,87,19,backRankMate endgame fork mate mateIn2 short,https://lichess.org/q3oKsCni/black#62,4r1k1/1p3ppp/2p5/8/3P4/PQ2P3/BPb3q1/3RK3 w - - 6 32,2,21,22,8,9
2r1q1k1/5pbp/6p1/1pp1N3/3P4/P3Q2P/5PP1/2R3K1 w - - 0 29,c1c5 c8c5 d4c5 e8e5,1533,75,92,808,crushing endgame short,https://lichess.org/sU0VE7gK#57,2r1q1k1/5pbp/6p1/1pR1N3/3P4/P3Q2P/5PP1/6K1 b - - 0 29,-437,22,21,9,8
r2q3k/1b4rp/ppn5/2pn1Q2/P1B4R/3P1N2/1PP2PPP/R5K1 b - - 0 20,d5e7 h4h7 g7h7 f5f6,1672,76,87,100,crushing kingsideAttack middlegame sacrifice short,https://lichess.org/XbibTMhO/black#40,r2q3k/1b2n1rp/ppn5/2p2Q2/P1B4R/3P1N2/1PP2PPP/R5K1 w - - 1 21,376,32,32,13,11
8/5ppp/p1R1p3/1P2k3/1P5P/5nP1/3p1K2/8 w - - 0 39,f2e2 f3d4 e2d2 d4c6,1005,93,85,109,crushing endgame fork short,https://lichess.org/trPl2XDp#77,8/5ppp/p1R1p3/1P2k3/1P5P/5nP1/3pK3/8 b - - 1 39,-463,9,9,6,8
4rrk1/ppq2ppp/2np1b2/3Q4/2B2P2/1PP3RP/P5P1/R1B3K1 b - - 0 19,f6c3 g3c3 e8e1 g1f2,1966,113,33,17,advantage hangingPiece middlegame short,https://lichess.org/0kKZjTKK/black#38,4rrk1/ppq2ppp/2np4/3Q4/2B2P2/1Pb3RP/P5P1/R1B3K1 w - - 0 20,305,30,31,11,12
r2qkb1r/pppbn1pp/2np1B2/3N4/2BPP3/5N2/PPP3PP/R2Q1K1R b kq - 0 11,g7f6 d5f6,929,90,87,379,mate mateIn1 oneMove opening,https://lichess.org/dWr9P6cc/black#22,r2qkb1r/pppbn2p/2np1p2/3N4/2BPP3/5N2/PPP3PP/R2Q1K1R w kq - 0 12,1,35,37,14,14
8/8/1pp5/2kn4/6R1/2P5/P1K5/8 w - - 5 43,a2a4 d5e3 c2d2 e3g4,716,98,91,611,crushing endgame fork short,https://lichess.org/7gH3PCNm#85,8/8/1pp5/2kn4/P5R1/2P5/2K5/8 b - - 0 43,-567,7,5,4,4
